TT#;	Session#;	Date/Time;	Turns(1/16);	Dir;	Depth(um);	Notes;	
10;	6;	07-Nov-2012 18:39:07;	8;	NW;	1600;	No audible change.;	
11;	6;	07-Nov-2012 18:40:48;	8;	W;	1600;	Slight audible change. Quiet to moderately quiet;	
12;	6;	07-Nov-2012 18:42:00;	8;	W;	1600;	Possible slight change.;	
13;	6;	07-Nov-2012 18:42:38;	0;	N;	1200;	;	
14;	6;	07-Nov-2012 18:42:39;	0;	NE;	1840;	;	
1;	7;	10-Nov-2012 17:54:22;	4;	NE;	1680;	;	
2;	7;	10-Nov-2012 17:54:26;	4;	W;	1680;	;	
3;	7;	10-Nov-2012 17:54:30;	4;	W;	1680;	;	
4;	7;	10-Nov-2012 17:54:36;	4;	NE;	1680;	;	
5;	7;	10-Nov-2012 17:54:40;	4;	SW;	1680;	;	
6;	7;	10-Nov-2012 17:54:43;	4;	NE;	1680;	;	
7;	7;	10-Nov-2012 17:54:46;	4;	S;	1680;	;	
8;	7;	10-Nov-2012 17:54:49;	4;	SE;	1680;	;	
9;	7;	10-Nov-2012 17:54:51;	4;	SE;	1680;	;	
10;	7;	10-Nov-2012 17:54:54;	4;	NE;	1680;	;	
11;	7;	10-Nov-2012 17:54:58;	4;	N;	1680;	;	
12;	7;	10-Nov-2012 17:54:33;	6;	NE;	1720;	;	
13;	7;	10-Nov-2012 17:55:16;	-4;	W;	1120;	;	
14;	7;	10-Nov-2012 17:55:56;	-4;	NW;	1760;	;	
